package|depends on|declared in
base|expected|libs/base/dub.sdl
build-primitives|sparkles:base|libs/build-primitives/dub.sdl
build-primitives|sparkles:test-runner|libs/build-primitives/dub.sdl
ci|expected|apps/ci/dub.sdl
ci|sparkles:base|apps/ci/dub.sdl
ci|sparkles:code-instrumentation|apps/ci/dub.sdl
ci|sparkles:core-cli|apps/ci/dub.sdl
ci|sparkles:docs|apps/ci/dub.sdl
ci|sparkles:syntax|apps/ci/dub.sdl
ci|sparkles:wired|apps/ci/dub.sdl
code-instrumentation|expected|libs/code-instrumentation/dub.sdl
code-instrumentation|sparkles:base|libs/code-instrumentation/dub.sdl
code-instrumentation|sparkles:test-runner|libs/code-instrumentation/dub.sdl
code-instrumentation|sparkles:wired|libs/code-instrumentation/dub.sdl
core-cli|expected|libs/core-cli/dub.sdl
core-cli|sparkles:base|libs/core-cli/dub.sdl
core-cli|sparkles:test-utils|libs/core-cli/dub.sdl
core-cli|sparkles:ui|libs/core-cli/dub.sdl
core-cli|sparkles:wired|libs/core-cli/dub.sdl
diff|expected|libs/diff/dub.sdl
diff|sparkles:base|libs/diff/dub.sdl
diff|sparkles:base|libs/diff/dub.sdl
diff|sparkles:test-runner|libs/diff/dub.sdl
dmd-fmt|dmd:frontend|libs/dmd-fmt/dub.sdl
dmd-fmt|dmd:lexer|libs/dmd-fmt/dub.sdl
dmd-fmt|sparkles:diff|libs/dmd-fmt/dub.sdl
dmd-fmt|sparkles:test-runner|libs/dmd-fmt/dub.sdl
dmd-lsp|dmd:frontend|libs/dmd-lsp/dub.sdl
dmd-lsp|sparkles:test-runner|libs/dmd-lsp/dub.sdl
docs|sparkles:base|libs/docs/dub.sdl
docs|sparkles:base|libs/docs/dub.sdl
docs|sparkles:build-primitives|libs/docs/dub.sdl
docs|sparkles:build-primitives|libs/docs/dub.sdl
docs|sparkles:syntax|libs/docs/dub.sdl
docs|sparkles:syntax|libs/docs/dub.sdl
docs|sparkles:test-runner|libs/docs/dub.sdl
docs|sparkles:twoslash|libs/docs/dub.sdl
docs|sparkles:twoslash|libs/docs/dub.sdl
docs|sparkles:wired|libs/docs/dub.sdl
docs|sparkles:wired|libs/docs/dub.sdl
dsv|expected|libs/dsv/dub.sdl
dsv|sparkles:base|libs/dsv/dub.sdl
dsv|sparkles:base|libs/dsv/dub.sdl
dsv|sparkles:test-runner|libs/dsv/dub.sdl
event-horizon|during|libs/event-horizon/dub.sdl
event-horizon|expected|libs/event-horizon/dub.sdl
event-horizon|sparkles:base|libs/event-horizon/dub.sdl
event-horizon|sparkles:test-runner|libs/event-horizon/dub.sdl
fuzzy|expected|libs/fuzzy/dub.sdl
fuzzy|sparkles:base|libs/fuzzy/dub.sdl
fuzzy|sparkles:base|libs/fuzzy/dub.sdl
fuzzy|sparkles:base|libs/fuzzy/dub.sdl
fuzzy|sparkles:test-runner|libs/fuzzy/dub.sdl
fuzzy|sparkles:test-runner|libs/fuzzy/dub.sdl
ghostty|sparkles:base|libs/ghostty/dub.sdl
