path,directory,name,ext,bytes,lines
.circleci/config.yml,.circleci,config.yml,yml,19394,513
.editorconfig,.,.editorconfig,,3142,93
.envrc,.,.envrc,,304,10
.github/actions/setup-nix/action.yml,.github/actions/setup-nix,action.yml,yml,5056,142
.github/dependabot.yml,.github,dependabot.yml,yml,215,11
.github/workflows/ci.yml,.github/workflows,ci.yml,yml,22511,535
.github/workflows/docs.yml,.github/workflows,docs.yml,yml,2742,83
.github/workflows/fdroid.yml,.github/workflows,fdroid.yml,yml,5208,124
.github/workflows/release.yml,.github/workflows,release.yml,yml,3988,98
.gitignore,.,.gitignore,,2401,104
.prettierignore,.,.prettierignore,,1046,19
.prettierrc.cjs,.,.prettierrc.cjs,cjs,203,11
AGENTS.md,.,AGENTS.md,md,115808,1111
CLAUDE.md,.,CLAUDE.md,md,11,1
LICENSE,.,LICENSE,,1338,23
README.md,.,README.md,md,27585,939
SCROLLBAR-PLAN.md,.,SCROLLBAR-PLAN.md,md,40628,479
apps/ci/dub.sdl,apps/ci,dub.sdl,sdl,3378,69
apps/ci/dub.selections.json,apps/ci,dub.selections.json,json,126,9
apps/ci/src/app.d,apps/ci/src,app.d,d,156304,4437
apps/ci/src/blob_paths.d,apps/ci/src,blob_paths.d,d,12760,348
apps/ci/src/ci_main.d,apps/ci/src,ci_main.d,d,592,15
apps/ci/src/ci_stats.d,apps/ci/src,ci_stats.d,d,36426,1052
apps/ci/src/coverage.d,apps/ci/src,coverage.d,d,7360,198
apps/ci/src/docs_sidebar.d,apps/ci/src,docs_sidebar.d,d,10691,344
apps/ci/src/dub_deps.d,apps/ci/src,dub_deps.d,d,12614,355
apps/ci/src/example_manifest.d,apps/ci/src,example_manifest.d,d,4691,143
apps/ci/src/fence_audit.d,apps/ci/src,fence_audit.d,d,49385,1482
apps/ci/tools/add-checked-buildtype.d,apps/ci/tools,add-checked-buildtype.d,d,4742,136
apps/ci/tools/smoke-option-help.d,apps/ci/tools,smoke-option-help.d,d,5022,144
apps/hue/android/AndroidManifest.xml,apps/hue/android,AndroidManifest.xml,xml,3428,62
apps/hue/android/debug-only.keystore,apps/hue/android,debug-only.keystore,keystore,2666,0
apps/hue/android/hello/AndroidManifest.xml,apps/hue/android/hello,AndroidManifest.xml,xml,1792,35
apps/hue/android/hello/main.d,apps/hue/android/hello,main.d,d,2181,59
apps/hue/android/icon/ic_launcher.svg,apps/hue/android/icon,ic_launcher.svg,svg,1914,36
apps/hue/android/jni_c.c,apps/hue/android,jni_c.c,c,923,18
apps/hue/dub.sdl,apps/hue,dub.sdl,sdl,9357,189
