package,module,bytes,lines,blank,comment,imports,unittests,structs,classes,enums,templates,@safe,@nogc,asserts,todos
base,allowlist.d,3434,90,9,18,6,0,1,0,0,0,0,0,0,0
base,analysis.d,26393,771,71,47,3,6,7,0,14,0,35,35,28,0
base,ansi.d,18366,513,55,73,4,11,4,0,1,0,28,29,23,0
base,app.d,8740,228,24,26,22,0,1,0,2,1,0,0,0,0
base,base_codecs.d,44014,1211,138,144,33,28,5,1,27,5,33,24,122,0
base,case_style.d,13247,332,44,20,8,6,1,0,6,1,6,3,36,0
base,config.d,2089,51,10,27,0,0,1,0,2,0,0,0,0,0
base,corpus.d,1955,64,5,9,6,0,0,0,0,0,0,0,0,0
base,cstring.d,16656,462,61,72,5,16,1,0,0,2,19,15,41,0
base,enums.d,15278,400,57,45,6,12,0,0,41,5,12,12,35,0
base,errors.d,4947,121,15,26,1,3,2,0,1,2,8,10,9,0
base,float_conv.d,68612,1983,184,211,10,12,4,0,13,4,31,46,84,0
base,grapheme.d,6320,180,18,33,6,3,3,0,1,0,3,8,13,0
base,html.d,2558,79,10,7,4,3,0,0,0,1,4,5,0,0
base,hw_caps.d,25048,722,81,84,12,8,3,1,6,0,14,31,38,0
base,layer0_segmentation.d,3509,121,16,21,13,0,1,0,0,0,2,0,0,0
base,layer10_python_wcwidth.d,5849,163,16,26,16,0,0,1,0,0,1,0,0,0
base,layer1_width.d,2181,72,11,10,7,0,0,1,0,0,1,0,0,0
base,layer2_emoji.d,3293,98,15,17,12,0,0,0,0,0,0,0,0,0
base,layer3_kitty.d,4264,118,12,16,17,0,0,0,1,0,0,0,0,0
base,layer4_ghostty.d,4739,120,14,31,12,1,0,1,0,0,1,0,0,0
base,layer5_utf8proc.d,5160,123,14,33,9,1,0,4,0,0,1,0,0,0
base,layer6_utf8proc_seg.d,2725,84,10,14,12,0,0,0,0,0,0,0,0,0
base,layer7_icu_seg.d,2446,80,11,12,12,0,0,0,0,0,0,0,0,0
base,layer8_notcurses.d,3401,98,11,16,13,0,0,0,0,0,1,0,0,0
base,layer9_rust_uwidth.d,4821,136,15,19,16,0,0,1,1,0,1,0,0,0
base,lifetime.d,17284,593,88,115,1,17,15,14,2,1,11,47,68,0
base,lineindex.d,6977,201,22,40,1,7,3,0,0,0,16,8,29,0
base,logger.d,27681,1029,141,72,35,7,5,5,2,4,62,55,24,0
base,oracle.d,5489,119,13,27,2,2,0,0,4,0,7,3,13,0
base,package.d,641,19,2,2,11,0,0,0,0,0,0,0,0,0
base,package.d,572,12,1,9,2,0,0,0,0,0,0,0,0,0
base,package.d,309,6,1,3,1,0,0,0,0,0,0,0,0,0
base,package.d,724,14,1,11,3,0,0,0,0,0,0,0,0,0
base,package.d,1689,43,4,2,20,0,0,0,1,0,0,0,0,0
base,percent.d,23642,649,85,87,17,14,4,1,9,10,23,15,48,0
base,prettyprint.d,25543,873,114,50,37,24,13,2,22,1,14,10,1,0
base,readers.d,13606,455,62,50,9,16,0,0,11,1,5,6,67,0
base,report.d,3146,97,10,14,6,0,3,0,0,1,0,0,0,0
base,scan.d,8538,284,19,27,2,4,0,0,3,0,8,9,8,0
base,smallbuffer.d,85081,2437,302,446,30,62,13,0,3,0,81,69,286,0
base,source_uri.d,16274,424,53,63,21,9,4,0,11,2,26,2,20,0
base,span.d,6085,173,26,31,1,4,2,0,1,0,9,9,26,0
base,styled_template.d,57296,1557,155,335,13,70,2,0,3,3,83,25,148,0
base,subprocess.d,1905,55,6,12,9,0,0,0,0,0,0,0,0,0
base,term_caps.d,12140,316,34,55,15,3,2,0,4,0,7,11,7,1
base,term_color.d,28674,749,88,105,15,12,2,0,4,0,9,25,61,0
base,term_control.d,10700,312,40,44,8,4,0,0,7,0,4,5,18,0
base,term_style.d,33528,870,100,162,10,12,6,0,25,2,14,11,67,0
base,ucd.d,6477,157,18,33,12,0,1,0,1,0,0,0,0,0
base,unicode_tables.d,994888,21843,34,6,0,0,5,0,1,0,18,18,0,0
base,unique.d,31434,824,118,116,11,13,20,13,13,5,31,13,54,0
base,utf.d,2856,86,7,8,0,1,0,0,0,0,3,4,4,0
base,utf16.d,10561,330,42,16,4,5,1,0,1,0,1,1,28,0
base,utf8.d,11215,312,24,30,3,6,1,0,1,0,8,8,17,0
base,util.d,2456,62,8,17,7,0,0,1,0,0,5,1,0,0
base,width.d,16158,420,56,86,18,13,0,0,7,0,21,18,46,0
base,wrap.d,29671,835,86,143,16,20,6,0,4,0,23,10,39,0
base,writers.d,55704,1821,258,204,97,53,13,0,62,14,59,95,81,0
build-primitives,dir_walk.d,14349,473,86,40,37,5,5,0,4,0,15,1,5,0
build-primitives,gitignore.d,15516,540,87,47,5,8,5,0,1,0,9,0,31,0
build-primitives,glob_walk.d,5978,160,19,22,8,2,1,0,0,0,8,1,10,0
build-primitives,package.d,458,20,1,0,2,0,0,0,0,0,0,0,0,0
