name,kind,path,d files,source lines,source bytes,top modules
base,lib,libs/base,36,44229,1769305,"analysis.d, ansi.d, base_codecs.d"
build-primitives,lib,libs/build-primitives,4,1193,36301,"dir_walk.d, gitignore.d, glob_walk.d"
ci,app,apps/ci,9,8374,290823,"app.d, blob_paths.d, ci_main.d"
code-instrumentation,lib,libs/code-instrumentation,10,2779,97158,"dmd.d, gcov.d, ingest.d"
core-cli,lib,libs/core-cli,12,6626,205905,"common_dirs.d, error.d, help_formatting.d"
diff,lib,libs/diff,12,3662,130964,"classify.d, engine.d, identity.d"
dmd-fmt,lib,libs/dmd-fmt,12,4976,179779,"bench.d, cli.d, config.d"
dmd-lsp,lib,libs/dmd-lsp,11,10126,348966,"api.d, cpreprocess.d, ddoc.d"
docs,lib,libs/docs,10,5022,195437,"assets.d, breadcrumbs.d, fragment.d"
dsv,lib,libs/dsv,6,1818,61004,"bench.d, dialect.d, model.d"
event-horizon,lib,libs/event-horizon,31,15970,546203,"buffer.d, capability.d, cause.d"
fuzzy,lib,libs/fuzzy,9,5327,186851,"allocation_audit.d, common.d, glob.d"
ghostty,lib,libs/ghostty,1,8,329,package.d
http,lib,libs/http,3,555,17806,"message.d, package.d, server.d"
hue,app,apps/hue,55,43684,1724746,"android_clipboard.d, android_glue.d, android_paths.d"
input,lib,libs/input,8,1788,65918,"capability.d, events.d, frame.d"
math,lib,libs/math,2,396,10249,"package.d, vector.d"
raylib-text,lib,libs/raylib-text,12,3240,131862,"atlas.d, box.d, draw.d"
release,app,apps/release,25,7780,272178,"agents.d, app.d, artifacts.d"
source-view,lib,libs/source-view,4,4019,162978,"code.d, goldens.d, markdown.d"
syntax,lib,libs/syntax,18,7011,260051,"ansi.d, color.d, config.d"
terminal,app,apps/terminal,2,188,7216,"app.d, cli.d"
terminal-benchmark,app,apps/terminal-benchmark,2,403,14031,"app.d, bench.d"
terminal-view,lib,libs/terminal-view,9,4039,167421,"cell_paint.d, child_env.d, component.d"
test-runner,lib,libs/test-runner,3,483,18351,"attributes.d, discovery.d, register.d"
test-runner-impl,lib,libs/test-runner-impl,26,16286,630113,"bench.d, bench_json.d, cache_regime.d"
test-utils,lib,libs/test-utils,4,227,5789,"diff_tools.d, package.d, string.d"
tree-sitter,lib,libs/tree-sitter,4,1103,39299,"errors.d, loader.d, package.d"
tui,lib,libs/tui,8,1785,67545,"app.d, cell.d, geometry.d"
twoslash,lib,libs/twoslash,8,4487,180793,"icons.d, overlay.d, package.d"
twoslash-d,lib,libs/twoslash-d,3,1608,57346,"analyze.d, emit.d, notation.d"
twoslash-extract,app,apps/twoslash-extract,1,439,16492,app.d
twoslash-protocol,lib,libs/twoslash-protocol,2,569,23186,"ingest.d, protocol.d"
ui,lib,libs/ui,49,31268,1223516,"box.d, canvas.d, cells.d"
ui-app,lib,libs/ui-app,12,4406,164575,"backend.d, display.d, event_source.d"
ui-gallery,app,apps/ui-gallery,28,11470,438264,"app.d, components_page.d, decoration_page.d"
ui-raylib,lib,libs/ui-raylib,4,1523,62818,"events.d, package.d, raylib_canvas.d"
ui-sdl3,lib,libs/ui-sdl3,8,1682,63251,"commands.d, error.d, events.d"
ui-tui,lib,libs/ui-tui,3,1037,40880,"grid_canvas.d, package.d, session.d"
versions,lib,libs/versions,23,8852,289734,"any.d, calver_yymm.d, calver_yyyymmdd.d"
vulkan,lib,libs/vulkan,11,1996,80470,"api.d, dispatch.d, enumerate.d"
vulkan-wsi,lib,libs/vulkan-wsi,9,2788,106294,"commands.d, conformance.d, context.d"
wired,lib,libs/wired,10,7831,264443,"codec.d, conformance.d, document.d"
wsi,lib,libs/wsi,11,6991,246971,"appkit.d, conformance.d, events.d"
